Name,Transect,Site,x,y,lon,lat
C10,C,10,748730,9829207,35.236269781098905,-1.5467379240099097
C11,C,11,748575,9828209,35.23488685184416,-1.5557616540819406
C12,C,12,748389,9827218,35.23322541795314,-1.5647224151184813
C1,C,1,750047,9838093,35.24801826512138,-1.4663936223746576
C2,C,2,749902,9837111,35.24672463707912,-1.475272481995812
C3,C,3,749717,9836145,35.24507159305575,-1.4840070780755612
C4,C,4,749612,9835145,35.24413752586924,-1.4930483248454023
C5,C,5,749443,9834200,35.24262809415431,-1.5015929589755526
C6,C,6,749298,9833167,35.24133510356701,-1.5109329321450198
C7,C,7,749162,9832217,35.24012223462464,-1.5195224905516733
C8,C,8,749023,9831180,35.23888326968912,-1.5288985974341358
C9,C,9,748836,9830232,35.237212327696945,-1.537470584307655
D10,D,10,744654,9829689,35.19964962660012,-1.5424188364456168
D11,D,11,744298,9828757,35.19646021001958,-1.5508479702957358
D12,D,12,743942,9827832,35.193270743177315,-1.559213850703607
D1,D,1,747835,9838081,35.228148449279466,-1.4665220720156973
D2,D,2,747503,9837167,35.22517431422324,-1.4747879827957062
D3,D,3,747119,9836190,35.221733651092734,-1.483623940483775
D4,D,4,746783,9835296,35.21872343876115,-1.4917091397320257
D5,D,5,746346,9834390,35.21480606201126,-1.499903775826299
D6,D,6,746075,9833429,35.21238038967658,-1.5085941514681256
D7,D,7,745721,9832496,35.209208885362095,-1.5170321836506624
D8,D,8,745362,9831554,35.2059925639478,-1.5255516576773753
D9,D,9,745003,9830620,35.202776184834114,-1.5339988389678854
E10,E,10,740423,9831700,35.16162244845748,-1.5242769586884084
E11,E,11,739810,9830944,35.15612236779189,-1.5311173655317796
E12,E,12,739108,9830145,35.149823110183235,-1.5383473737494047
E1,E,1,746156,9838564,35.21306189283472,-1.4621705579050706
E2,E,2,745525,9837820,35.20740023469232,-1.4689023082885835
E3,E,3,744821,9837074,35.20108280654761,-1.4756528287072237
E4,E,4,744282,9836265,35.196248117583316,-1.4829714678898132
E5,E,5,743614,9835525,35.190253972395205,-1.4896674994555301
E6,E,6,742876,9834783,35.18363098792166,-1.4963822785757794
E7,E,7,742385,9833947,35.179227680166946,-1.5039446967653263
E8,E,8,741698,9833224,35.17306261463125,-1.5104873201408107
E9,E,9,741062,9832457,35.167356064999524,-1.517427311227941
F10,F,10,737874,9834674,35.13869710996518,-1.4974122287840557
F11,F,11,737006,9834052,35.130904837045904,-1.5030433440071478
F12,F,12,736274,9833499,35.1243336764086,-1.5080494602464065
F1,F,1,745088,9840030,35.20345525169309,-1.448926611873808
F2,F,2,744285,9839440,35.19624708199896,-1.4542675948039536
F3,F,3,743464,9838780,35.18887777860733,-1.460241608241164
F4,F,4,742690,9838249,35.18192950326108,-1.4650489964010485
F5,F,5,741841,9837712,35.174307494734364,-1.4699113109669948
F6,F,6,741080,9837053,35.16747702222699,-1.4758758472138374
F7,F,7,740279,9836463,35.16028656944197,-1.4812169533376927
F8,F,8,739473,9835867,35.15305120221558,-1.4866123756689542
F9,F,9,738658,9835258,35.145735047004635,-1.4921254361623468
G10,G,10,735434,9838156,35.11674734291869,-1.465952653254984
G11,G,11,734433,9837754,35.107758219117926,-1.4695957039087097
G12,G,12,733487,9837389,35.09926281022855,-1.4729037697411607
G1,G,1,743763,9841292,35.191541915589724,-1.4375289613213182
G2,G,2,742823,9840940,35.18310093439101,-1.4407194034209663
G3,G,3,741890,9840556,35.17472304492941,-1.4441990924363932
G4,G,4,740959,9840234,35.166362526216595,-1.447118244528298
G5,G,5,740026,9839878,35.15798426963116,-1.4503448028695367
G6,G,6,739095,9839531,35.149623839368815,-1.4534899807351491
G7,G,7,738167,9839164,35.14129046681654,-1.4568159545766157
G8,G,8,737230,9838814,35.13287603618225,-1.4599883144317545
G9,G,9,736298,9838464,35.12450645943947,-1.4631606346918822
